class,mediaSepalLength,volume
Iris-versicolor,5.936,183.04839333333334
Iris-versicolor,5.936,184.3473066666667
Iris-versicolor,5.936,200.60832000000002
Iris-versicolor,5.936,232.30975999999995
Iris-versicolor,5.936,234.92433333333335
Iris-versicolor,5.936,169.56
Iris-versicolor,5.936,119.02170000000001
Iris-versicolor,5.936,120.31433333333332
Iris-versicolor,5.936,117.14816666666667
Iris-versicolor,5.936,137.31848
Iris-versicolor,5.936,192.168
Iris-versicolor,5.936,137.3436
Iris-versicolor,5.936,169.56
Iris-versicolor,5.936,220.82887333333335
Iris-versicolor,5.936,182.78568000000004
Iris-versicolor,5.936,134.5762133333333
Iris-versicolor,5.936,126.64666666666666
Iris-versicolor,5.936,139.31133333333335
Iris-versicolor,5.936,179.15374666666662
Iris-versicolor,5.936,140.83946666666668
Iris-versicolor,5.936,86.35000000000001
Iris-versicolor,5.936,137.85855999999998
Iris-versicolor,5.936,142.82604
Iris-versicolor,5.936,142.82604
Iris-versicolor,5.936,173.0056266666667
Iris-versicolor,5.936,81.67139999999999
Iris-versicolor,5.936,139.42542
Iris-virginica,6.587999999999998,249.2532
Iris-virginica,6.587999999999998,179.57032
Iris-virginica,6.587999999999998,311.29855333333336
Iris-virginica,6.587999999999998,232.63631999999998
Iris-virginica,6.587999999999998,256.48566666666665
Iris-virginica,6.587999999999998,399.00607999999994
Iris-virginica,6.587999999999998,113.08710000000004
Iris-virginica,6.587999999999998,351.39426000000003
Iris-virginica,6.587999999999998,272.51222666666666
Iris-virginica,6.587999999999998,330.98112000000003
Iris-virginica,6.587999999999998,225.5305
Iris-virginica,6.587999999999998,227.2187733333334
Iris-virginica,6.587999999999998,266.1882666666666
Iris-virginica,6.587999999999998,170.03100000000003
Iris-virginica,6.587999999999998,179.57032
Iris-virginica,6.587999999999998,227.2187733333334
Iris-virginica,6.587999999999998,243.21916666666667
Iris-virginica,6.587999999999998,415.78100666666677
Iris-virginica,6.587999999999998,428.19238
Iris-virginica,6.587999999999998,188.4
Iris-virginica,6.587999999999998,284.04126
Iris-virginica,6.587999999999998,160.83498666666665
Iris-virginica,6.587999999999998,415.78100666666677
Iris-virginica,6.587999999999998,203.55678
Iris-virginica,6.587999999999998,267.81374
Iris-virginica,6.587999999999998,325.5552
Iris-virginica,6.587999999999998,193.12256000000002
Iris-virginica,6.587999999999998,190.83768666666666
Iris-virginica,6.587999999999998,240.08021333333338
Iris-virginica,6.587999999999998,314.70336000000003
Iris-virginica,6.587999999999998,349.6243466666667
Iris-virginica,6.587999999999998,418.0637866666668
Iris-virginica,6.587999999999998,240.08021333333338
Iris-virginica,6.587999999999998,211.86522
Iris-virginica,6.587999999999998,218.1002133333333
Iris-virginica,6.587999999999998,378.5468866666667
Iris-virginica,6.587999999999998,232.63631999999998
Iris-virginica,6.587999999999998,235.7930666666667
Iris-virginica,6.587999999999998,180.864
Iris-virginica,6.587999999999998,269.09172000000007
Iris-virginica,6.587999999999998,263.1152533333333
Iris-virginica,6.587999999999998,254.14218000000002
Iris-virginica,6.587999999999998,179.57032
Iris-virginica,6.587999999999998,285.54741333333334
Iris-virginica,6.587999999999998,267.81374
Iris-virginica,6.587999999999998,244.32130666666671
Iris-virginica,6.587999999999998,207.711
Iris-virginica,6.587999999999998,229.95266666666672
Iris-virginica,6.587999999999998,217.26288000000008
Iris-virginica,6.587999999999998,185.81578000000002
